,city,state,shape,year,month,day,season,Credible,military_base_dist,airport_dist,temp,rain,vis,thunder,fog,tornado,snow,movies_released
0,3835,3,15,0,9,9,0,0,3454.4094789875157,0.31108556086734657,1.66097393567845,0,0.0642725003381733,0,0,0,0,16
1,585,10,16,0,9,9,0,1,5404.265953054753,7.589947746979372,0.6291048208057011,0,0.9004451573254999,0,0,0,0,16
2,3301,33,2,1,9,9,0,0,3589.8169661625875,0.5180801230761559,1.24209637419545,0,2.8689349539831697,0,0,0,0,16
3,3987,27,11,1,9,9,0,1,5775.01681430917,3.038386567578644,0.0161132674159509,0,0.0642725003381733,0,0,0,0,16
4,1492,42,8,1,9,9,0,1,5452.721409994759,5.1536074991603895,-0.0962685173721699,0,0.0642725003381733,0,0,0,0,16
5,3695,4,0,2,9,9,0,1,3611.9496148365824,7.441814289679213,0.189794207543047,0,0.0642725003381733,0,0,0,0,19
6,2607,4,3,2,9,9,0,1,3574.2997569671006,3.8756071717640688,0.7517031314836501,0,0.0642725003381733,0,0,0,0,19
7,5050,33,11,2,9,9,0,1,3720.950057956247,45.96977715811531,0.4656404065684339,0,0.0642725003381733,0,0,0,0,19
8,2830,29,15,2,9,9,0,1,4954.154232316712,17.7946054150426,-0.382331242287386,0,0.0642725003381733,0,0,0,0,19
9,3381,22,13,2,9,9,0,1,6004.874042356476,8.913907409213895,-0.94424016622799,0,0.0642725003381733,0,0,0,0,19
10,4777,24,13,3,9,9,0,0,5179.082304726453,0.9667172370187774,-1.4142003571601298,0,-0.7719001566491541,0,0,0,0,24
11,691,24,11,3,9,9,0,1,5044.862543949397,27.55713025222917,-0.5560121824144821,0,0.0642725003381733,0,0,0,0,24
12,2027,17,11,3,9,9,0,1,5642.253134479858,3.819753527035812,-0.94424016622799,0,0.0642725003381733,0,0,0,0,24
13,5240,12,16,4,9,9,0,0,5178.345986257666,1.5471757999153788,0.220443785212534,0,0.0642725003381733,0,0,0,0,21
